Trireme   record: LOA 36.9 m  LWL 35 m  beam 3.8 m  draught 1.25 m
  model extent   x   -18.42 ..   +18.61   =   37.03 m   (record LOA 36.9)   Δ +0.13 m
  model height   y    -1.34 ..   +12.47   =   13.81 m   above water 12.47 m
  model breadth  z         ..    +5.63   =   11.26 m   (record beam 3.8)   Δ +7.46 m

  part                        u fore   u aft   len m      y0      y1   half
  Stem                        -0.026   0.102    4.48   -0.99    2.45   0.10
  Planking                    -0.024   1.030   36.90   -1.25    2.45   1.90
  Weather deck — laid planki  -0.024   1.030   36.90    1.45    2.45   1.71
  Keel                         0.000   1.000   35.00   -1.34   -0.37   0.10
  Wales                        0.003   0.999   34.85    0.08    0.96   1.92
  Sail                         0.008   0.478   16.44    3.19   11.36   4.84
  Rail                         0.018   0.987   33.92    1.45    2.36   1.73
  Waterway                     0.018   0.987   33.92    1.44    2.30   1.71
  Yard                         0.027   0.478   15.79    7.23   11.45   4.57
  Lifts                        0.028   0.476   15.68    7.27   12.47   4.54
  Braces                       0.028   0.680   22.82    1.72   11.36   4.55
  Tacks                        0.029   0.474   15.57    1.60    3.21   4.37
  Sheets                       0.029   0.590   19.63    1.49    3.21   4.37
  Stays and backstays          0.030   0.621   20.68    1.43   12.03   1.72
  Mast                         0.044   0.434   13.66    1.46   12.46   0.11
  Karchesion                   0.044   0.434   13.65    7.69   12.46   0.14
  Halyard                      0.045   0.470   14.88    1.49   12.46   0.01
  Oars                         0.079   0.947   30.39   -0.09    1.73   5.63
  Grating                      0.272   0.728   15.96    1.45    1.62   0.75
  Ship's boat                  0.373   0.543    5.95    1.36    3.33   0.88
  Channels                     0.383   0.457    2.62    1.33    1.38   1.92
  Shrouds                      0.406   0.434    1.00    1.45   12.13   1.83
  Ratlines                     0.407   0.434    0.93    1.77   10.39   1.78
  Boat skids                   0.407   0.513    3.68    1.48    1.56   1.31
  Deadeyes                     0.413   0.427    0.52    1.35    1.49   1.96
  Capstan                      0.583   0.657    2.58    1.46    2.03   1.29
  Sternpost                    0.898   1.032    4.67   -0.99    1.95   0.10
  Port quarter rudder          0.938   0.971    1.15   -1.15    2.84  -0.15
  Starboard quarter rudder     0.938   0.971    1.15   -1.15    2.84   0.81
